[2023-05-30 16:00:02,706] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,710] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,714] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,716] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,719] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,722] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,722] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,724] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 55 with partition epoch 0, high watermark 55, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,724] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,728] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,728] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,732] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,736] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,738] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
